Edad,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,AvgMonthSpend,BikeBuyerText,,
18,Partial College,Skilled Manual,M,M,0,2,0,0,53956,48.4,YES,,
17,High School,Skilled Manual,M,M,0,1,0,0,51861,48.42,NO,,
45,Partial College,Clerical,M,S,1,1,0,0,79263,54.39,YES,,
28,High School,Clerical,M,M,1,1,0,1,78255,50.34,NO,,
50,High School,Skilled Manual,M,S,1,2,0,1,54886,52.36,YES,,
23,Partial College,Skilled Manual,M,S,0,1,0,0,59137,50.4,NO,,
52,High School,Skilled Manual,M,M,1,1,0,2,51254,48.17,YES,,
55,Graduate Degree,Professional,M,S,1,2,0,1,131638,54.76,NO,,
42,High School,Manual,F,M,1,1,1,2,30306,48.99,YES,,
24,High School,Skilled Manual,M,S,0,0,0,0,58987,50.62,YES,,
31,Bachelors,Clerical,M,S,0,2,0,0,79919,61.59,YES,,
42,Bachelors,Skilled Manual,M,S,1,0,0,0,56183,55.41,YES,,
42,Partial High School,Skilled Manual,M,M,1,2,0,2,56171,51.47,NO,,
27,Partial College,Manual,F,S,0,1,0,0,34636,46.86,NO,,
29,Bachelors,Management,M,M,1,1,1,2,109950,54.25,YES,,
56,Graduate Degree,Management,M,M,1,2,1,2,104830,54.49,YES,,
22,Partial College,Skilled Manual,F,S,0,0,0,0,54232,48.52,YES,,
57,Bachelors,Management,F,M,1,3,2,2,111988,53.42,YES,,
32,Bachelors,Management,M,S,1,3,0,0,104117,62.59,YES,,
40,Partial College,Clerical,M,M,1,2,1,2,86454,61.9,YES,,
22,Partial High School,Manual,F,S,0,1,0,0,35516,48.87,NO,,
19,Partial High School,Manual,M,S,0,0,0,0,26647,46.15,NO,,
47,Partial College,Manual,F,M,1,0,1,2,35255,49.58,YES,,
41,High School,Manual,F,M,1,0,0,1,27789,45.67,NO,,
51,High School,Skilled Manual,M,M,1,1,1,2,55571,49.9,YES,,
29,Bachelors,Skilled Manual,F,S,0,0,0,0,61928,49.14,YES,,
41,Partial College,Clerical,M,S,1,1,0,0,78212,57.68,NO,,
39,Bachelors,Skilled Manual,M,M,1,1,0,1,53700,56.97,NO,,
32,Bachelors,Skilled Manual,F,S,0,0,0,0,61145,51.52,YES,,
46,Partial College,Skilled Manual,F,M,1,0,0,2,61999,49.43,YES,,
50,High School,Skilled Manual,F,M,1,0,0,2,55969,48.58,YES,,
22,Partial College,Clerical,M,S,0,2,0,0,84476,50.14,YES,,
23,Partial College,Skilled Manual,F,S,0,1,0,0,55823,52.14,NO,,
52,Partial College,Clerical,F,M,1,2,0,2,76862,50,NO,,
23,Partial College,Clerical,F,S,0,2,0,0,86007,50.33,NO,,
56,High School,Clerical,M,S,1,1,1,1,83044,53.46,YES,,
43,High School,Skilled Manual,F,M,1,0,0,1,59763,48.58,YES,,
28,Bachelors,Skilled Manual,F,S,0,2,0,0,61541,52.16,YES,,
51,Partial College,Management,F,S,1,3,1,1,109380,50.68,YES,,
48,High School,Skilled Manual,M,M,1,1,0,2,52665,56.31,NO,,
49,Bachelors,Manual,M,S,1,1,0,0,34644,50.23,NO,,
49,High School,Manual,M,M,1,0,1,2,34587,55.06,YES,,
38,Graduate Degree,Professional,M,M,1,2,1,2,133610,53.56,YES,,
28,Graduate Degree,Professional,M,M,1,2,0,0,137172,52.26,YES,,
43,Graduate Degree,Clerical,F,S,1,3,0,0,80826,49.95,NO,,
21,High School,Manual,F,M,0,0,0,0,35218,46.03,YES,,
36,Partial College,Management,F,S,1,2,0,0,112092,54.33,NO,,
38,Partial College,Skilled Manual,F,M,1,0,1,2,54460,48.16,YES,,
37,Graduate Degree,Skilled Manual,M,S,0,2,0,0,52075,60.86,YES,,
23,Partial College,Clerical,M,S,0,1,0,0,80365,53.25,NO,,
32,Bachelors,Management,F,S,1,3,0,0,106821,51.46,YES,,
21,High School,Manual,M,S,0,1,0,0,29919,47.04,NO,,
23,Partial College,Skilled Manual,F,M,0,1,0,0,59912,48.66,YES,,
25,Bachelors,Skilled Manual,F,S,0,0,0,0,54605,48.55,YES,,
61,High School,Clerical,F,M,1,0,1,2,84566,53.67,YES,,
52,High School,Skilled Manual,F,M,1,2,0,2,53615,48.76,NO,,
38,Graduate Degree,Clerical,M,M,1,2,1,2,87881,52.2,YES,,
59,Bachelors,Skilled Manual,F,M,1,1,0,2,53974,48.77,NO,,
28,High School,Manual,M,S,0,0,0,0,27535,49.89,NO,,
18,High School,Skilled Manual,M,M,0,2,0,0,52219,47.67,YES,,
29,Bachelors,Management,F,S,0,1,0,0,104626,53.81,NO,,
25,Graduate Degree,Manual,M,M,0,0,0,2,35703,46.51,NO,,
40,Partial High School,Skilled Manual,M,M,1,2,0,2,56961,56.01,NO,,
42,High School,Skilled Manual,M,M,1,0,1,2,56650,50.53,YES,,
24,High School,Skilled Manual,F,M,0,1,0,0,59575,48.22,NO,,
23,Bachelors,Clerical,M,S,0,3,0,0,81936,51.53,NO,,
26,Bachelors,Management,F,S,0,3,0,0,105719,54.08,YES,,
45,High School,Skilled Manual,F,M,1,2,1,2,59330,50.79,YES,,
43,Partial College,Skilled Manual,F,S,1,1,0,0,56462,50.85,NO,,
20,Partial College,Clerical,M,S,0,2,0,0,83566,54.88,YES,,
22,Bachelors,Clerical,M,M,0,1,0,0,83740,50.08,NO,,
23,Bachelors,Management,M,M,1,2,0,0,110219,51.61,NO,,
30,Bachelors,Manual,F,M,0,0,0,1,32711,46.25,YES,,
48,High School,Clerical,F,M,1,0,1,2,77999,51.52,YES,,
40,Partial College,Skilled Manual,F,S,1,1,0,0,53492,48.26,NO,,
33,Partial College,Manual,F,S,0,0,0,0,28149,46.67,NO,,
18,High School,Manual,M,S,0,1,0,0,34900,47.9,YES,,
27,Bachelors,Professional,F,S,1,2,0,0,137821,52.85,YES,,
55,Graduate Degree,Clerical,F,M,1,1,0,2,77768,50.05,YES,,
28,Graduate Degree,Manual,M,M,0,1,0,2,27288,45.2,NO,,
31,Graduate Degree,Skilled Manual,M,M,1,1,1,2,54338,52.65,YES,,
27,Graduate Degree,Management,F,M,1,1,0,1,112942,51.41,NO,,
25,Graduate Degree,Professional,F,M,1,1,1,1,129671,52.09,YES,,
16,High School,Clerical,M,S,0,3,0,0,83373,52.75,YES,,
45,High School,Skilled Manual,F,M,1,0,0,2,57949,49.06,YES,,
27,Bachelors,Skilled Manual,M,M,0,2,0,1,55610,48.17,NO,,
35,Graduate Degree,Manual,M,M,1,0,0,1,36097,49.51,NO,,
44,High School,Skilled Manual,F,M,1,1,1,2,55825,52.08,YES,,
36,Partial College,Skilled Manual,F,M,1,0,2,2,54703,48.09,YES,,
38,Partial College,Skilled Manual,F,S,0,0,0,0,52340,48.91,NO,,
34,Partial College,Clerical,F,M,1,1,0,1,82530,49.67,NO,,
36,Partial College,Clerical,F,S,1,1,0,0,79767,50.27,NO,,
50,Partial College,Manual,F,M,1,0,1,2,33923,46.34,YES,,
34,Partial College,Skilled Manual,M,M,1,2,1,2,60689,61.56,YES,,
19,Bachelors,Professional,F,M,1,2,0,0,129556,52.14,NO,,
20,Partial High School,Manual,F,S,0,1,0,0,25546,47.47,NO,,
53,Partial College,Manual,M,M,1,0,2,2,30133,45.78,YES,,
19,Partial College,Skilled Manual,F,M,0,2,0,0,58658,48.86,NO,,
28,Bachelors,Clerical,F,M,1,2,0,2,85479,51.14,YES,,
42,Partial College,Clerical,M,M,1,0,0,1,86513,54.86,YES,,
20,Bachelors,Clerical,M,S,0,2,0,0,83629,49.69,YES,,
39,Bachelors,Clerical,M,M,1,3,1,2,82457,56.45,YES,,
48,Partial College,Clerical,F,M,1,0,1,2,84751,51.03,YES,,
35,Partial College,Clerical,M,S,1,1,0,0,82971,57.44,NO,,
30,Bachelors,Skilled Manual,M,M,1,0,0,2,55694,55.38,NO,,
28,Graduate Degree,Management,F,M,1,1,1,1,111858,52.14,YES,,
37,Partial College,Skilled Manual,F,S,0,1,0,0,55052,52.96,NO,,
17,Bachelors,Clerical,F,M,0,1,0,0,78890,49.88,NO,,
37,Partial College,Skilled Manual,F,M,1,1,0,1,56743,48.97,NO,,
23,Bachelors,Management,F,M,1,3,0,0,111905,51.22,YES,,
42,Partial College,Skilled Manual,M,S,1,0,0,0,54306,54.44,YES,,
27,Graduate Degree,Management,F,S,0,0,0,0,106565,55.62,NO,,
34,Partial College,Skilled Manual,F,S,0,2,0,0,56801,51.19,NO,,
20,Partial College,Manual,F,M,0,0,0,0,26008,45.18,NO,,
33,Bachelors,Skilled Manual,M,S,0,1,0,0,56817,57.24,YES,,
18,Partial College,Clerical,M,M,0,1,0,0,82507,49.89,YES,,
25,Bachelors,Professional,F,M,1,2,1,1,130968,55.2,YES,,
37,Partial College,Clerical,F,M,1,0,1,2,76468,50.92,YES,,
41,Partial College,Manual,M,M,1,0,1,2,36426,51.54,YES,,
43,Partial High School,Manual,M,M,1,1,1,2,33396,50.19,NO,,
34,Partial College,Clerical,M,M,1,2,1,1,79177,51.92,YES,,
33,Bachelors,Management,M,M,1,1,1,1,107076,61.13,YES,,
26,Bachelors,Clerical,M,S,0,3,0,0,83995,54.94,NO,,
46,Partial College,Management,F,M,1,2,1,2,108834,55.12,YES,,
28,Graduate Degree,Clerical,F,M,1,2,0,2,86417,49.73,NO,,
28,Graduate Degree,Professional,M,M,1,2,2,2,128660,51.47,YES,,
23,Partial College,Skilled Manual,F,M,0,2,0,0,54661,49.08,NO,,
25,Partial High School,Manual,F,S,0,1,0,0,26831,49.01,NO,,
18,Partial College,Clerical,F,M,0,2,0,0,81236,49.62,YES,,
43,Partial High School,Skilled Manual,M,S,1,0,0,0,53746,56.76,YES,,
43,High School,Clerical,M,S,1,0,0,0,82410,51.7,YES,,
18,Partial College,Skilled Manual,F,S,0,1,0,0,54285,48.05,NO,,
32,Partial High School,Manual,M,S,0,1,0,0,30011,50.52,NO,,
39,Bachelors,Skilled Manual,F,S,0,0,0,0,61247,50.36,NO,,
48,Partial College,Clerical,M,M,1,0,1,2,81698,57.01,YES,,
21,Partial College,Clerical,M,M,0,1,0,0,79621,49.83,NO,,
22,Bachelors,Management,M,M,1,1,0,0,108449,50.98,YES,,
43,Graduate Degree,Management,F,S,1,1,0,0,112522,54.46,NO,,
28,Bachelors,Management,M,S,0,3,0,0,108500,55.56,YES,,
24,Partial High School,Manual,M,M,0,0,0,0,30998,46.62,NO,,
37,Partial College,Clerical,M,S,1,1,0,0,82242,52.76,NO,,
48,High School,Skilled Manual,M,S,1,2,0,0,61887,54.14,YES,,
51,Bachelors,Skilled Manual,F,M,1,1,0,2,54643,48.22,NO,,
29,Bachelors,Professional,M,M,1,3,0,0,133867,52.61,NO,,
29,Bachelors,Professional,F,S,1,1,0,0,137129,54.52,NO,,
16,High School,Manual,F,M,0,0,0,0,27124,45.92,NO,,
56,Graduate Degree,Manual,M,M,1,1,1,2,35179,49.83,YES,,
21,Partial College,Skilled Manual,M,S,0,0,0,0,51902,48.84,YES,,
54,Graduate Degree,Management,M,M,1,0,1,2,106870,51.3,YES,,
41,Partial College,Clerical,M,M,1,2,0,2,86057,55.37,YES,,
55,Bachelors,Skilled Manual,M,M,1,1,0,3,56145,48.56,YES,,
56,Bachelors,Clerical,F,M,1,1,0,3,77566,49.7,NO,,
45,Partial College,Management,F,M,1,1,1,1,105420,53.2,YES,,
29,Bachelors,Skilled Manual,F,S,0,1,0,0,61262,49.96,NO,,
30,Bachelors,Management,M,M,1,0,1,1,107441,55.28,YES,,
31,Bachelors,Management,M,M,1,2,0,2,108136,57.77,NO,,
45,High School,Clerical,M,M,1,1,0,2,85432,52,NO,,
17,Partial College,Manual,F,M,0,0,0,0,33059,47,YES,,
38,Graduate Degree,Professional,M,S,1,2,0,0,133576,55.76,YES,,
40,High School,Clerical,M,S,1,2,0,0,86271,51.69,YES,,
32,High School,Skilled Manual,F,S,0,1,0,0,57567,48.56,NO,,
46,Partial College,Manual,F,S,1,1,0,0,35765,50.82,NO,,
25,Bachelors,Management,M,M,1,3,0,0,103774,51.75,NO,,
28,Bachelors,Clerical,M,S,0,3,0,0,83676,53.01,NO,,
40,Partial College,Management,F,M,1,1,0,1,110154,51.43,YES,,
40,Partial College,Skilled Manual,M,S,1,1,0,0,62381,52.77,YES,,
38,Bachelors,Skilled Manual,M,M,1,2,2,2,61074,60.93,YES,,
28,Bachelors,Management,M,M,1,3,0,2,109983,51.03,YES,,
22,Bachelors,Clerical,F,S,0,1,0,0,80330,51.35,NO,,
47,High School,Skilled Manual,F,S,1,1,0,0,58432,50.2,NO,,
19,High School,Skilled Manual,M,S,0,0,0,0,57389,47.98,YES,,
22,Bachelors,Clerical,M,M,0,3,0,0,80939,50.39,NO,,
27,Graduate Degree,Clerical,M,S,0,2,0,0,80408,50.77,YES,,
26,Partial High School,Manual,F,M,0,0,1,2,35941,46.41,NO,,
31,Bachelors,Manual,F,M,0,1,1,1,34928,49.14,YES,,
61,Graduate Degree,Skilled Manual,M,M,1,1,1,2,54276,50.67,YES,,
39,Partial College,Clerical,F,S,1,2,0,0,85554,51.52,NO,,
37,High School,Clerical,F,S,1,0,0,0,86159,52.67,NO,,
51,Partial College,Clerical,F,S,1,3,0,1,81326,51.16,YES,,
34,Bachelors,Clerical,M,S,1,2,0,0,80736,55.96,YES,,
32,Bachelors,Manual,M,S,0,1,0,0,28135,54.45,NO,,
18,Partial College,Skilled Manual,F,S,0,1,0,0,57001,52.9,NO,,
34,Bachelors,Clerical,M,M,1,2,1,1,85767,60.74,YES,,
56,Bachelors,Clerical,F,M,1,1,0,2,86241,49.72,NO,,
34,Partial College,Skilled Manual,M,M,1,1,0,1,53101,49.78,YES,,
20,High School,Skilled Manual,M,S,0,1,0,0,56703,53.03,NO,,
22,High School,Clerical,F,S,0,2,0,0,77840,50.84,YES,,
37,Partial College,Skilled Manual,F,S,0,0,0,0,56262,51.33,YES,,
33,Bachelors,Skilled Manual,F,S,0,0,0,0,58848,52.89,NO,,
25,Bachelors,Management,M,S,0,2,0,0,109668,54.12,YES,,
56,Graduate Degree,Skilled Manual,F,S,1,1,0,1,55699,48.31,NO,,
25,High School,Skilled Manual,M,S,0,0,0,0,52357,50.08,YES,,
33,Partial College,Skilled Manual,F,M,1,1,0,1,58382,48.72,YES,,
28,Graduate Degree,Skilled Manual,M,M,0,0,0,1,57063,48.15,YES,,
45,Partial College,Clerical,F,M,1,1,1,2,82497,53.93,YES,,
27,Partial College,Manual,M,S,0,0,0,0,30828,48.86,YES,,
55,Bachelors,Clerical,F,M,1,2,2,2,79353,53.4,YES,,
52,Bachelors,Management,M,M,1,1,1,2,105276,51.24,YES,,
46,High School,Skilled Manual,M,S,1,2,0,0,52716,56.56,NO,,
39,Bachelors,Management,M,M,1,2,0,2,108599,54.41,YES,,
23,Bachelors,Management,F,S,0,1,0,0,106898,53.2,NO,,
29,Bachelors,Manual,F,S,0,1,0,0,26569,47.17,NO,,
21,High School,Skilled Manual,F,S,0,1,0,0,51437,49.24,NO,,
21,Partial College,Skilled Manual,F,M,0,0,0,0,59659,49.34,NO,,
23,Graduate Degree,Skilled Manual,F,S,0,1,0,0,51467,49.73,NO,,
26,Partial College,Skilled Manual,F,S,0,2,0,0,57840,53.09,YES,,
57,Bachelors,Clerical,F,M,1,0,1,2,84796,52.5,YES,,
36,Bachelors,Clerical,M,M,1,2,1,2,79474,56.03,YES,,
31,Bachelors,Skilled Manual,M,M,1,0,0,1,61365,57.22,NO,,
39,Bachelors,Management,F,S,1,3,0,0,107354,54.67,NO,,
30,Bachelors,Clerical,F,S,0,2,0,0,80653,52.45,YES,,
17,Partial College,Skilled Manual,F,M,0,1,0,0,54519,47.69,YES,,
18,High School,Clerical,M,S,0,2,0,0,80885,50.73,NO,,
47,High School,Manual,F,M,1,0,1,2,33977,50.18,YES,,
32,Bachelors,Manual,F,M,0,1,1,1,26985,46.25,NO,,
46,Partial College,Skilled Manual,M,S,1,1,0,0,62244,58.63,NO,,
27,Graduate Degree,Professional,M,M,1,2,0,0,132709,51.49,YES,,
29,Bachelors,Manual,M,S,0,0,0,0,30814,49.07,YES,,
21,Bachelors,Management,M,S,0,2,0,0,105123,52.69,YES,,
26,Graduate Degree,Manual,F,S,0,0,0,0,32163,46.04,YES,,
29,Bachelors,Skilled Manual,M,M,0,1,0,2,56177,48.88,NO,,
35,Bachelors,Clerical,M,M,1,0,0,2,83406,50.75,YES,,
46,Partial College,Management,M,S,1,2,0,0,109521,51.38,YES,,
45,Partial College,Management,F,M,1,1,0,2,109642,51.26,YES,,
21,Bachelors,Skilled Manual,F,M,0,1,0,0,56665,47.79,YES,,
46,Bachelors,Management,F,M,1,2,1,2,103137,51.27,YES,,
21,Partial College,Skilled Manual,M,S,0,1,0,0,52353,50.57,NO,,
31,Graduate Degree,Skilled Manual,M,S,0,1,0,0,62224,55.63,NO,,
39,Bachelors,Skilled Manual,F,M,1,1,0,1,57590,48.39,NO,,
44,Partial College,Manual,M,M,1,0,1,1,33230,48.75,YES,,
23,Partial College,Clerical,F,S,0,0,0,0,81543,52.4,YES,,
55,Graduate Degree,Management,F,M,1,0,0,2,109411,51.7,YES,,
38,Bachelors,Skilled Manual,F,M,1,2,0,2,59167,48.36,NO,,
39,Graduate Degree,Clerical,F,S,1,2,0,0,80021,53.64,NO,,
21,High School,Clerical,F,M,0,3,0,0,86636,50.2,YES,,
45,High School,Clerical,M,S,1,1,0,0,86525,53.01,YES,,
41,Partial College,Clerical,F,M,1,0,0,2,80177,50.01,YES,,
37,Partial College,Skilled Manual,M,S,0,1,0,0,60474,61.39,NO,,
43,Partial High School,Manual,M,M,1,0,2,2,35106,51.76,NO,,
38,Bachelors,Professional,F,M,1,2,0,2,129121,52.65,YES,,
45,Partial High School,Skilled Manual,F,S,1,1,0,0,54811,53.07,NO,,
51,High School,Skilled Manual,M,S,1,2,0,1,59970,50.67,NO,,
31,High School,Skilled Manual,M,S,0,1,0,0,54594,51.17,NO,,
16,Partial High School,Manual,M,S,0,0,0,0,34485,49.78,NO,,
29,Bachelors,Professional,F,S,1,2,0,0,128717,51.72,YES,,
39,Partial College,Management,F,M,1,2,0,2,104150,51.09,YES,,
22,Bachelors,Professional,M,S,0,2,0,0,138642,53.81,NO,,
22,Partial High School,Skilled Manual,F,S,0,2,0,0,53803,52.21,YES,,
24,Bachelors,Management,F,M,1,2,0,0,109283,50.91,NO,,
47,Partial College,Manual,F,M,1,1,2,2,36413,47.77,YES,,
28,Graduate Degree,Management,M,M,1,3,1,2,106695,54.57,YES,,
38,Graduate Degree,Skilled Manual,M,M,1,0,1,2,54894,52.07,YES,,
52,Partial High School,Skilled Manual,F,M,1,1,0,2,53034,48.35,YES,,
40,Partial College,Clerical,M,S,1,3,0,0,77654,60.1,YES,,
27,Bachelors,Management,F,M,1,3,0,0,110107,51.24,YES,,
22,Partial High School,Skilled Manual,F,M,0,1,0,0,52204,47.74,NO,,
48,Partial College,Management,F,M,1,2,1,2,104940,52.99,YES,,
39,Bachelors,Skilled Manual,M,M,1,1,1,1,61865,50.07,NO,,
38,Graduate Degree,Management,F,M,1,2,0,2,105756,51.8,YES,,
47,High School,Manual,M,M,1,1,0,2,28446,53.91,NO,,
35,Bachelors,Skilled Manual,M,M,1,2,0,1,57247,57.88,NO,,
26,Partial College,Skilled Manual,M,S,0,1,0,0,62509,53.71,YES,,
32,Bachelors,Skilled Manual,F,M,1,2,1,2,61826,52.74,YES,,
54,Bachelors,Management,M,M,1,2,0,2,112304,51.24,NO,,
37,Bachelors,Clerical,F,M,1,3,0,1,84456,49.93,YES,,
24,Partial College,Manual,M,S,0,1,0,0,26205,48.5,NO,,
30,Partial High School,Manual,M,S,0,1,0,0,28441,46.94,NO,,
29,Graduate Degree,Skilled Manual,F,S,0,1,0,0,58265,52.56,NO,,
41,Partial College,Manual,M,S,0,0,0,0,34466,55.09,YES,,
29,Graduate Degree,Clerical,F,S,0,1,0,0,79309,51.09,NO,,
31,Graduate Degree,Professional,F,S,1,1,0,0,138237,55.08,NO,,
47,Bachelors,Management,M,S,1,1,0,0,109568,63.44,NO,,
51,Bachelors,Management,F,M,1,2,0,2,102952,50.95,NO,,
24,Bachelors,Clerical,F,S,0,2,0,0,81876,53.04,YES,,
31,Partial College,Skilled Manual,M,S,0,1,0,0,57651,53.6,NO,,
33,Partial College,Clerical,M,S,0,2,0,0,81979,60.79,YES,,
16,Partial High School,Manual,F,S,0,0,0,0,31523,49.77,NO,,
18,High School,Clerical,M,S,0,1,0,0,86648,53.38,NO,,
30,Bachelors,Clerical,M,S,0,3,0,0,87789,51.37,YES,,
57,Graduate Degree,Management,M,M,1,2,0,2,109467,51.61,NO,,
48,Partial College,Manual,M,M,1,1,1,2,29965,53.9,NO,,
37,Partial College,Clerical,F,M,1,1,0,2,85801,50.68,NO,,
50,Bachelors,Management,M,M,1,1,0,2,108008,51.6,NO,,
40,Partial College,Skilled Manual,M,M,1,2,1,2,56024,60,YES,,
34,Bachelors,Clerical,M,M,1,2,0,2,85962,55.45,YES,,
40,Partial High School,Skilled Manual,M,M,1,2,1,1,60344,57.92,YES,,
49,High School,Skilled Manual,M,S,1,0,0,0,55459,51.73,YES,,
33,High School,Skilled Manual,M,M,1,2,1,2,58773,60.74,YES,,
25,Graduate Degree,Clerical,M,M,1,2,1,1,78193,53.64,YES,,
35,Bachelors,Clerical,F,S,1,1,0,0,80978,50.4,NO,,
38,Graduate Degree,Clerical,M,S,1,3,0,0,83266,60.71,YES,,
32,Bachelors,Management,F,S,1,2,0,0,106307,53.4,YES,,
27,Graduate Degree,Clerical,F,S,0,2,0,0,85028,52.03,NO,,
39,Bachelors,Manual,M,M,1,0,2,2,26113,46.26,NO,,
29,Bachelors,Skilled Manual,M,M,1,1,0,1,59145,49.54,NO,,
29,Bachelors,Skilled Manual,M,M,0,1,1,1,61196,48.93,YES,,
21,Bachelors,Management,M,S,0,3,0,0,104281,53.62,NO,,
42,High School,Skilled Manual,F,S,1,1,0,0,51539,49.33,NO,,
21,Partial College,Skilled Manual,M,M,0,1,0,0,55193,48.09,NO,,
31,Graduate Degree,Professional,F,M,1,3,0,2,133291,51.92,YES,,
43,Graduate Degree,Clerical,F,S,1,1,0,0,82883,51.76,NO,,
25,High School,Clerical,M,S,0,1,0,0,80978,54.02,NO,,
46,Partial College,Skilled Manual,M,M,1,1,1,2,55684,59.23,YES,,
43,Partial High School,Manual,F,M,1,1,1,2,31377,46.93,NO,,
32,High School,Clerical,M,S,0,0,0,0,86467,57.78,YES,,
54,Partial College,Clerical,M,S,1,1,1,1,83787,51.03,YES,,
39,Bachelors,Management,M,M,1,1,2,2,109258,58.54,YES,,
51,Bachelors,Clerical,F,M,1,2,1,2,80065,50.17,YES,,
30,Partial College,Clerical,F,M,1,1,0,1,80463,50.21,NO,,
24,Partial High School,Skilled Manual,M,S,0,2,0,0,62167,52.36,YES,,
59,Graduate Degree,Clerical,M,M,1,1,0,2,81167,50.47,YES,,
24,Partial College,Skilled Manual,F,M,0,1,0,0,56880,48.07,NO,,
25,High School,Manual,M,S,0,1,0,0,29629,47.47,NO,,
22,Bachelors,Skilled Manual,M,S,0,2,0,0,53669,48.4,NO,,
50,High School,Skilled Manual,M,S,1,2,0,1,61442,50.9,NO,,
49,Partial High School,Skilled Manual,F,M,1,1,0,2,59528,48.38,NO,,
23,Bachelors,Skilled Manual,M,M,0,0,0,0,60538,48.69,NO,,
54,Bachelors,Clerical,F,M,1,2,1,2,84784,52.26,YES,,
33,Bachelors,Management,F,M,1,0,0,2,103761,50.7,YES,,
28,Graduate Degree,Management,M,M,1,2,1,2,104505,51.31,YES,,
35,Partial College,Clerical,M,M,1,0,1,2,84450,59.9,YES,,
36,Bachelors,Manual,M,S,0,1,0,0,35271,50.35,NO,,
48,High School,Skilled Manual,M,M,1,1,2,2,61063,54.67,YES,,
25,High School,Clerical,F,S,0,3,0,0,86990,53.19,YES,,
36,Partial College,Skilled Manual,F,M,1,1,1,2,51218,49.22,NO,,
47,Partial College,Skilled Manual,F,M,1,1,0,2,56622,48.06,NO,,
53,High School,Manual,F,M,1,1,1,2,29087,46.61,NO,,
32,Bachelors,Management,F,S,1,2,0,0,103257,55.47,NO,,
32,Bachelors,Professional,F,S,1,3,0,0,131629,54.57,NO,,
52,Partial High School,Skilled Manual,F,S,1,1,0,1,56650,50.01,NO,,
21,High School,Manual,M,S,0,0,0,0,33349,46.06,YES,,
20,High School,Clerical,F,S,0,1,0,0,83398,53.13,NO,,
32,High School,Manual,F,M,0,0,1,2,32639,49.74,YES,,
48,Partial High School,Skilled Manual,M,M,1,1,1,2,55538,50.81,YES,,
38,Graduate Degree,Management,M,M,1,2,0,0,113028,55.9,NO,,
19,Partial College,Skilled Manual,M,S,0,2,0,0,55754,50.95,YES,,
32,Partial College,Clerical,M,M,1,1,0,2,80146,59.11,YES,,
24,Partial High School,Skilled Manual,F,S,0,1,0,0,55795,49.22,NO,,
36,Graduate Degree,Professional,M,S,1,2,0,0,129146,60.9,YES,,
28,Bachelors,Manual,F,S,0,0,0,0,31737,47.91,YES,,
47,Partial High School,Skilled Manual,F,S,1,1,0,0,52276,48.94,NO,,
25,Graduate Degree,Skilled Manual,M,M,0,1,1,1,52873,50.08,NO,,
57,Bachelors,Clerical,M,S,1,1,0,1,85240,50.32,YES,,
40,Partial College,Clerical,F,M,1,1,0,2,79146,49.89,NO,,
31,Bachelors,Skilled Manual,F,S,0,1,0,0,58396,51.03,NO,,
29,Bachelors,Management,M,M,1,1,1,2,107737,54.97,YES,,
25,Bachelors,Clerical,M,M,1,2,1,1,86911,51.42,YES,,
45,High School,Manual,M,M,1,0,1,2,28959,55.03,NO,,
34,Graduate Degree,Management,F,S,1,2,0,0,106277,51.22,YES,,
32,Bachelors,Clerical,M,S,0,1,0,0,81281,50.75,YES,,
41,High School,Skilled Manual,M,M,1,1,1,2,54362,50.2,NO,,
56,Bachelors,Professional,M,M,1,0,1,2,129467,54.3,YES,,
57,Bachelors,Skilled Manual,M,M,1,2,1,2,60038,51.96,YES,,
56,Graduate Degree,Management,F,M,1,2,0,2,103611,50.35,NO,,
24,Graduate Degree,Management,M,M,1,3,0,0,103726,50.49,NO,,
48,Partial College,Management,M,M,1,1,1,2,103090,56.41,YES,,
46,Partial College,Clerical,F,S,1,1,0,0,76641,51.43,NO,,
30,Bachelors,Management,M,M,1,2,0,0,109692,50.47,YES,,
37,High School,Skilled Manual,F,S,0,1,0,0,55983,51.46,NO,,
41,Partial High School,Manual,M,M,1,1,1,2,30541,49.84,NO,,
33,Bachelors,Clerical,M,S,0,2,0,0,87708,53.13,NO,,
26,Graduate Degree,Professional,M,M,1,0,0,2,137732,52.44,NO,,
60,Graduate Degree,Professional,F,M,1,2,0,3,137685,52.18,NO,,
39,Bachelors,Management,F,M,1,2,2,2,107401,55.41,YES,,
24,Partial College,Skilled Manual,F,S,0,1,0,0,59855,52.11,NO,,
43,High School,Clerical,M,M,1,1,0,2,83924,50.95,NO,,
60,High School,Skilled Manual,M,M,1,1,2,3,54485,52.1,YES,,
27,High School,Clerical,M,M,1,0,0,1,86282,50.45,NO,,
29,Bachelors,Clerical,M,M,1,1,0,2,79577,49.81,NO,,
32,Bachelors,Management,F,S,1,2,0,0,106210,55.1,NO,,
17,Partial College,Clerical,M,S,0,1,0,0,81913,49.91,YES,,
46,Partial College,Clerical,F,S,1,3,0,0,77031,51.24,YES,,
34,Partial College,Clerical,M,M,1,2,0,1,76944,56.98,NO,,
45,Partial College,Manual,F,M,1,1,0,2,32890,46.33,NO,,
51,Bachelors,Management,F,M,1,2,1,2,102219,52.26,YES,,
34,Bachelors,Management,F,S,1,2,0,0,109297,53.55,YES,,
